code,name
ab201w,Intermediate Arabic 1(WLU)
acc604,Statutory Interpretation
acc605,International Tax
acc606,Business Valuations
acc607,Tax Issues Integration
acc608,US GAAP
acc609,Financial Statement Analysis
acc610,Public Accounting Practice
acc611,External Reporting with Integration
acc620,Enterprise IT Architecture and Configuration Management
acc621,System Reliability Principles and Criteria
acc622,Electronic Commerce
acc623,Business Technology Law
acc624,IT Security
acc625,Foundations of Venture Creation
acc626,IT Assurance and Computer-Assisted Audit Techniques
acc627,Business Process Enablement and Project Management
acc640,Working with Unstructured Data and Natural Language Processing
acc644,E-Business: Enterprise Systems
acc646,E-Business: Introduction  to Electronic Commerce
acc650,Assurance and Governance
acc652,Forensic Accounting
acc662,Tax Policy
acc680,Systems and Analysis for Management Decision-making
acc681,Understanding and Managing Organizational Change
acc682,Measuring and Managing the Value Creation Process
acc683,Emerging Issues in Management and Marketing
acc684,Strategy and Business Models
acc685,Performance Management
acc690,Topics in Accounting
acc701,Financial Accounting Research Seminar
acc702,Management Accounting Research Seminar
acc750,Auditing Research Seminar
acc760,Taxation Research Seminar
acc770,Finance 1
acc771,Finance 2
acc772,Finance 3
acc781,Introduction to Accounting Research
acc782,Experimental and Field Research in Accounting
acc783,Archival and Analytic Research in Accounting
acc784,Special Topics in Accounting Research
acc800,Directed Readings in Accounting
acinty600,Academic Integrity Module
acinty610,Academic Integrity Module
acinty620,Academic Integrity Module
acinty630,Academic Integrity Module
acinty640,Academic Integrity Module
acinty650,Academic Integrity Module
acinty660,Academic Integrity Module
actsc127,Introduction to Global Capital Markets and Financial Analytics
actsc221,Introductory Financial Mathematics (Non-Specialist Level)
actsc223,Group Life & Health Insurance
actsc231,Introductory Financial Mathematics
actsc232,Life Contingencies 1
actsc291,Global Capital Markets and Financial Analytics
actsc331,Life Contingencies 2
actsc332,Life Contingencies 2
actsc362,Introduction to Property and Casualty Practice
actsc363,Casualty and Health Insurance Mathematics 1
actsc371,Introduction to Investments
actsc372,Investment Science and Corporate Finance
actsc391,Corporate Finance
actsc423,Topics in Financial Econometrics
actsc431,Casualty and Health Insurance Mathematics 2
actsc432,Credibility and Risk Theory
actsc433,Analysis of Survival Data
actsc445,Quantitative Enterprise Risk Management
actsc446,Mathematics of Financial Markets
actsc447,Numerical Computation for Financial Modelling
actsc453,Basic Pension Mathematics
actsc454,Longevity and Mortality Using Predictive Analytics
actsc455,Life Contingencies 3
actsc458,Insurance Law
actsc459,Group Life and Health Insurance
actsc462,Introduction to Property and Casualty Pricing
actsc463,Introduction to Property and Casualty Loss Reserving
actsc468,Readings in Actuarial Science 1
actsc469,Readings in Actuarial Science 2
actsc471,Corporate Financial Decision Making
actsc489,Advanced Topics in Actuarial Science
actsc611,Financial Mathematics I
actsc612,Life Insurance Mathematics I
actsc613,Statistics for Actuarial Science
actsc614,Corporate Finance and Accounting
actsc615,Economics
actsc621,Financial Mathematics II
actsc622,Life Insurance Mathematics II
actsc623,Applied Statistics
actsc624,Stochastic Processes for Actuarial Science
actsc625,Casualty and Health Insurance Mathematics
actsc631,Financial Mathematics III
actsc632,Data Science with Actuarial Applications
actsc633,Actuarial Risk Management
actsc634,Quantitative Risk Management
actsc635,Profession Communications in Actuarial Science
actsc690,Literature & Research Studies
actsc831,Loss Models 1
actsc832,Loss Models 2
actsc833,Analysis of Mortality Data
actsc845,Quantitative Enterprise Risk Management
actsc846,Mathematics of Financial Markets
actsc853,Basic Pension Mathematics
actsc854,Longevity and Mortality Using Predictive Analytics
actsc855,Life Contingencies 3
actsc859,Group Life and Health Insurance
actsc862,Introduction to Property and Casualty Pricing
actsc863,Introduction fo Property and Casuality Loss Reserving
actsc870,Short Course in Actuarial Science
actsc895,Communications in Actuarial Science
actsc900,PhD Research Skills
actsc936,Longitudinal Data Analysis
actsc961,Mathematical Methods of Loss Reserving
actsc962,Insurance Risk Models
actsc963,Insurance Surplus Mathematics
actsc964,Foundations of Quantitative Risk Management
actsc965,Extreme Value Theory
actsc966,Aggregate Claims Models
actsc969,Stochastic Calculus for Quantitative Finance
actsc970,Finance 1
actsc971,Finance 2
actsc972,Finance 3
actsc973,Portfolio Optimization
actsc974,Financial Econometrics
actsc980,Social Insurance
actsc991,Topics in Actuarial Science
actsc992,Seminar in Actuarial Science
admgt601,Introduction to Financial and Managerial Accounting
